Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100
Apache,JORGE INGMANN,1/23/61,94,2,17,0,607661,0.734,0.504,0,-14.28,1,0.0408,0.137,0.846,0.283,0.963,111.025,169320,4,0,0,0,0,0,57.77835159,0,1,0
Runaway,JEFFERSON STARSHIP,5/27/78,79,12,16,41,3866731,0.346,0.469,5,-14.022,1,0.0403,0.301,0.00485,0.215,0.672,174.133,321907,4,0,0,0,0,0,53,0,3,14
On The Rebound,FLOYD CRAMER,3/6/61,51,4,13,26,427094,0.535,0.683,9,-11.677,1,0.0334,0.371,0.0133,0.205,0.912,150.742,126107,4,0,0,0,0,7,41,0,2,3
But I Do,CLARENCE (FROGMAN) HENRY,2/20/61,90,4,16,34,267988,0.66,0.555,10,-5.329,1,0.0278,0.581,0,0.13,0.856,109.847,141200,4,0,0,0,0,0,39,0,1,1
Surrender,CHEAP TRICK,7/22/78,84,62,8,69,6039172,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77E-06,0.659,0.869,133.849,253733,4,8,0,0,0,0,67,1,1,11
Don't Worry,MARTY ROBBINS,1/23/61,110,3,16,31,1720790,0.648,0.165,4,-16.446,1,0.0348,0.879,0.000216,0.13,0.435,99.585,194160,4,0,0,0,2,4,61,1,1,10
Mother-In-Law,ERNIE K-DOE,3/27/61,55,1,14,28,323354,0.747,0.631,7,-8.306,0,0.0409,0.713,0.00024,0.303,0.753,127.416,153600,4,0,0,0,0,1,34,1,0,5
Walk Right Back,EVERLY BROTHERS,2/6/61,71,7,13,47,606424,0.624,0.358,1,-13.199,1,0.0342,0.752,0,0.0593,0.871,135.797,139640,4,0,0,1,0,4,63,1,4,7
Pony Time,CHUBBY CHECKER,1/23/61,49,1,16,28,788783,0.456,0.635,8,-4.594,1,0.0284,0.00928,4.44E-06,0.128,0.897,77.353,144589,4,0,0,0,1,1,56,1,4,20
Asia Minor,KOKOMO,2/20/61,75,8,14,15,141727,0.459,0.534,2,-11.926,0,0.0305,0.665,0.825,0.18,0.931,202.954,118133,4,0,0,0,0,0,21,0,1,0
Take Good Care Of Her,MEL CARTER,10/1/66,99,78,5,9,5244,0.348,0.29,4,-11.089,1,0.0333,0.867,0,0.31,0.366,103.697,166907,4,0,0,0,0,1,34,0,2,6
Please Love Me Forever,BOBBY VINTON,9/23/67,102,6,14,41,1501076,0.455,0.265,6,-11.402,0,0.029,0.615,1.02E-05,0.237,0.278,76.005,157533,4,0,0,0,0,1,57,3,3,16
Think Twice,CELINE DION,8/20/94,96,95,5,52,14886557,0.547,0.397,2,-10.463,0,0.0271,0.387,0,0.14,0.277,134.346,288000,4,0,0,0,5,16,78,1,3,6
Gee Whiz,THE INNOCENTS,11/7/60,113,28,13,4,18128,0.645,0.131,4,-13.981,1,0.03,0.821,0,0.106,0.473,94.823,149227,4,0,0,0,0,0,17,0,0,1
Baby Blue,ECHOES,3/6/61,65,12,12,10,416443,0.5,0.373,7,-13.548,1,0.0275,0.779,0,0.0667,0.727,132.368,156813,4,0,0,0,0,0,15,0,0,1
